iter	Passed	Remaining
685	32031	5836
686	32078	5789
687	32123	5743
688	32167	5695
689	32213	5649
690	32260	5602
691	32304	5555
692	32352	5508
693	32391	5460
694	32434	5413
695	32475	5365
696	32522	5319
697	32572	5273
698	32616	5226
